,Data_Source,Date,compound,neg,neu,pos,tweet
1676,@CBS,2017-11-30,0.0,0.0,1.0,0.0,24
1677,@CBS,2017-11-30,0.6988,0.0,0.548,0.452,23
1678,@CBS,2017-11-30,0.0,0.0,1.0,0.0,22
1679,@CBS,2017-11-30,0.7067,0.0,0.754,0.246,21
1680,@CBS,2017-11-30,0.0,0.0,1.0,0.0,20
1681,@CBS,2017-11-30,0.0,0.0,1.0,0.0,19
1682,@CBS,2017-11-30,0.6514,0.0,0.842,0.158,18
1683,@CBS,2017-11-30,0.1139,0.0,0.936,0.064,17
1684,@CBS,2017-11-29,0.6825,0.0,0.772,0.228,16
1685,@CBS,2017-11-29,0.5826,0.0,0.848,0.152,15
1686,@CBS,2017-11-29,0.0,0.0,1.0,0.0,14
1687,@CBS,2017-11-29,0.0,0.0,1.0,0.0,13
1688,@CBS,2017-11-29,0.0,0.0,1.0,0.0,12
1689,@CBS,2017-11-29,0.0,0.0,1.0,0.0,11
1690,@CBS,2017-11-29,0.4559,0.0,0.858,0.142,10
1691,@CBS,2017-11-29,0.0,0.0,1.0,0.0,9
1692,@CBS,2017-11-29,0.6124,0.0,0.8,0.2,8
1693,@CBS,2017-11-29,0.4926,0.0,0.842,0.158,7
1694,@CBS,2017-11-29,0.6696,0.0,0.809,0.191,6
1695,@CBS,2017-11-29,0.6696,0.0,0.817,0.183,5
1696,@CBS,2017-11-29,0.4201,0.087,0.754,0.158,4
1697,@CBS,2017-11-29,0.5826,0.0,0.848,0.152,3
1698,@CBS,2017-11-29,0.5106,0.0,0.751,0.249,2
1699,@CBS,2017-11-29,0.9476,0.0,0.551,0.449,1
1700,@CNN,2017-12-11,-0.4207,0.243,0.574,0.183,100
1701,@CNN,2017-12-11,0.4019,0.0,0.863,0.137,99
1702,@CNN,2017-12-11,0.0,0.0,1.0,0.0,98
1703,@CNN,2017-12-11,0.0,0.0,1.0,0.0,97
1704,@CNN,2017-12-11,0.0772,0.0,0.939,0.061,96
1705,@CNN,2017-12-11,0.0,0.0,1.0,0.0,95
1706,@CNN,2017-12-11,0.0,0.0,1.0,0.0,94
1707,@CNN,2017-12-11,0.3612,0.0,0.894,0.106,93
1708,@CNN,2017-12-11,0.0,0.0,1.0,0.0,92
1709,@CNN,2017-12-11,-0.296,0.115,0.885,0.0,91
1710,@CNN,2017-12-11,-0.2732,0.108,0.837,0.054,90
1711,@CNN,2017-12-11,0.0,0.0,1.0,0.0,89
1712,@CNN,2017-12-11,-0.5719,0.207,0.793,0.0,88
1713,@CNN,2017-12-11,0.5574,0.0,0.796,0.204,87
1714,@CNN,2017-12-11,-0.1027,0.069,0.931,0.0,86
1715,@CNN,2017-12-11,0.0,0.0,1.0,0.0,85
1716,@CNN,2017-12-11,0.0,0.0,1.0,0.0,84
1717,@CNN,2017-12-11,-0.296,0.099,0.901,0.0,83
1718,@CNN,2017-12-11,-0.34,0.13,0.87,0.0,82
1719,@CNN,2017-12-11,-0.6486,0.249,0.751,0.0,81
1720,@CNN,2017-12-11,0.0,0.0,1.0,0.0,80
1721,@CNN,2017-12-11,0.0,0.0,1.0,0.0,79
1722,@CNN,2017-12-11,0.0,0.0,1.0,0.0,78
1723,@CNN,2017-12-11,0.3818,0.0,0.865,0.135,77
1724,@CNN,2017-12-11,0.0,0.0,1.0,0.0,76
1725,@CNN,2017-12-11,0.5983,0.0,0.844,0.156,75
1726,@CNN,2017-12-11,0.5106,0.0,0.858,0.142,74
1727,@CNN,2017-12-11,0.0,0.0,1.0,0.0,73
1728,@CNN,2017-12-11,-0.2263,0.161,0.738,0.101,72
1729,@CNN,2017-12-11,-0.1779,0.124,0.777,0.099,71
1730,@CNN,2017-12-11,-0.6369,0.245,0.755,0.0,70
1731,@CNN,2017-12-11,0.0,0.0,1.0,0.0,69
1732,@CNN,2017-12-11,-0.8074,0.343,0.657,0.0,68
1733,@CNN,2017-12-11,0.0,0.0,1.0,0.0,67
1734,@CNN,2017-12-11,-0.296,0.128,0.872,0.0,66
1735,@CNN,2017-12-11,-0.7096,0.258,0.742,0.0,65
1736,@CNN,2017-12-11,0.0,0.0,1.0,0.0,64
1737,@CNN,2017-12-11,0.0,0.0,1.0,0.0,63
1738,@CNN,2017-12-11,0.0,0.0,1.0,0.0,62
1739,@CNN,2017-12-11,0.5267,0.0,0.672,0.328,61
1740,@CNN,2017-12-11,-0.296,0.104,0.896,0.0,60
1741,@CNN,2017-12-11,-0.1027,0.065,0.935,0.0,59
1742,@CNN,2017-12-11,0.0,0.0,1.0,0.0,58
1743,@CNN,2017-12-11,0.0,0.0,1.0,0.0,57
1744,@CNN,2017-12-11,0.2146,0.108,0.74,0.153,56
1745,@CNN,2017-12-11,0.0,0.0,1.0,0.0,55
1746,@CNN,2017-12-11,0.0,0.0,1.0,0.0,54
1747,@CNN,2017-12-11,0.5574,0.0,0.82,0.18,53
1748,@CNN,2017-12-11,0.5574,0.0,0.816,0.184,52
1749,@CNN,2017-12-11,0.0,0.0,1.0,0.0,51
1750,@CNN,2017-12-11,-0.296,0.104,0.896,0.0,50
1751,@CNN,2017-12-11,0.0,0.0,1.0,0.0,49
1752,@CNN,2017-12-11,0.0,0.0,1.0,0.0,48
1753,@CNN,2017-12-11,-0.7096,0.258,0.742,0.0,47
1754,@CNN,2017-12-11,-0.4019,0.124,0.876,0.0,46
1755,@CNN,2017-12-11,0.0,0.0,1.0,0.0,45
1756,@CNN,2017-12-11,0.0,0.0,1.0,0.0,44
1757,@CNN,2017-12-11,-0.8591,0.388,0.612,0.0,43
1758,@CNN,2017-12-11,0.5423,0.0,0.83,0.17,42
1759,@CNN,2017-12-11,-0.4588,0.176,0.824,0.0,41
1760,@CNN,2017-12-11,0.0,0.0,1.0,0.0,40
1761,@CNN,2017-12-11,0.0,0.0,1.0,0.0,39
1762,@CNN,2017-12-11,-0.3612,0.132,0.868,0.0,38
1763,@CNN,2017-12-11,-0.296,0.109,0.891,0.0,37
1764,@CNN,2017-12-11,-0.6908,0.251,0.749,0.0,36
1765,@CNN,2017-12-11,0.25,0.094,0.726,0.179,35
1766,@CNN,2017-12-11,0.0,0.0,1.0,0.0,34
1767,@CNN,2017-12-11,-0.296,0.104,0.896,0.0,33
1768,@CNN,2017-12-11,0.0258,0.0,0.939,0.061,32
1769,@CNN,2017-12-11,0.0,0.0,1.0,0.0,31
1770,@CNN,2017-12-11,0.6124,0.074,0.698,0.229,30
1771,@CNN,2017-12-11,0.3612,0.0,0.857,0.143,29
1772,@CNN,2017-12-11,0.0,0.0,1.0,0.0,28
1773,@CNN,2017-12-11,0.0,0.0,1.0,0.0,27
1774,@CNN,2017-12-11,-0.4939,0.127,0.873,0.0,26
1775,@CNN,2017-12-11,0.0,0.0,1.0,0.0,25
1776,@CNN,2017-12-11,0.0772,0.0,0.909,0.091,24
1777,@CNN,2017-12-11,0.0,0.0,1.0,0.0,23
1778,@CNN,2017-12-11,-0.0772,0.085,0.915,0.0,22
1779,@CNN,2017-12-11,0.7845,0.0,0.635,0.365,21
1780,@CNN,2017-12-11,-0.0772,0.174,0.671,0.154,20
1781,@CNN,2017-12-11,-0.4019,0.124,0.876,0.0,19
1782,@CNN,2017-12-11,0.5574,0.0,0.765,0.235,18
1783,@CNN,2017-12-11,0.7783,0.0,0.673,0.327,17
1784,@CNN,2017-12-11,0.0,0.0,1.0,0.0,16
1785,@CNN,2017-12-11,0.5983,0.0,0.822,0.178,15
1786,@CNN,2017-12-11,0.0,0.0,1.0,0.0,14
1787,@CNN,2017-12-11,0.25,0.0,0.9,0.1,13
1788,@CNN,2017-12-11,0.0,0.0,1.0,0.0,12
1789,@CNN,2017-12-11,0.5574,0.0,0.69,0.31,11
1790,@CNN,2017-12-11,0.0,0.0,1.0,0.0,10
1791,@CNN,2017-12-11,0.4466,0.0,0.816,0.184,9
1792,@CNN,2017-12-11,0.0,0.0,1.0,0.0,8
1793,@CNN,2017-12-11,0.8074,0.0,0.644,0.356,7
1794,@CNN,2017-12-11,0.0,0.0,1.0,0.0,6
1795,@CNN,2017-12-11,-0.6705,0.191,0.809,0.0,5
1796,@CNN,2017-12-11,0.0,0.0,1.0,0.0,4
1797,@CNN,2017-12-11,-0.802,0.31,0.69,0.0,3
1798,@CNN,2017-12-11,-0.7096,0.258,0.742,0.0,2
1799,@CNN,2017-12-11,-0.5719,0.198,0.802,0.0,1
1800,@FoxNews,2017-12-11,0.0516,0.138,0.714,0.148,100
1801,@FoxNews,2017-12-11,0.6249,0.0,0.709,0.291,99
1802,@FoxNews,2017-12-11,-0.2263,0.176,0.72,0.104,98
1803,@FoxNews,2017-12-11,-0.8316,0.441,0.479,0.08,97
1804,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,96
1805,@FoxNews,2017-12-11,-0.2732,0.204,0.659,0.138,95
1806,@FoxNews,2017-12-11,-0.6597,0.375,0.625,0.0,94
1807,@FoxNews,2017-12-11,-0.3818,0.271,0.729,0.0,93
1808,@FoxNews,2017-12-11,0.6794,0.0,0.741,0.259,92
1809,@FoxNews,2017-12-11,0.2732,0.0,0.9,0.1,91
1810,@FoxNews,2017-12-11,-0.9413,0.497,0.503,0.0,90
1811,@FoxNews,2017-12-11,0.7777,0.0,0.606,0.394,89
1812,@FoxNews,2017-12-11,0.0,0.139,0.723,0.139,88
1813,@FoxNews,2017-12-11,-0.4767,0.147,0.853,0.0,87
1814,@FoxNews,2017-12-11,-0.0772,0.133,0.751,0.116,86
1815,@FoxNews,2017-12-11,-0.8074,0.399,0.601,0.0,85
1816,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,84
1817,@FoxNews,2017-12-11,0.2263,0.0,0.909,0.091,83
1818,@FoxNews,2017-12-11,-0.7269,0.478,0.335,0.187,82
1819,@FoxNews,2017-12-11,-0.25,0.287,0.549,0.165,81
1820,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,80
1821,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,79
1822,@FoxNews,2017-12-11,-0.4767,0.22,0.78,0.0,78
1823,@FoxNews,2017-12-11,-0.6808,0.359,0.641,0.0,77
1824,@FoxNews,2017-12-11,-0.4767,0.256,0.744,0.0,76
1825,@FoxNews,2017-12-11,0.6249,0.0,0.709,0.291,75
1826,@FoxNews,2017-12-11,-0.2732,0.16,0.84,0.0,74
1827,@FoxNews,2017-12-11,0.5719,0.0,0.812,0.188,73
1828,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,72
1829,@FoxNews,2017-12-11,-0.2732,0.245,0.581,0.174,71
1830,@FoxNews,2017-12-11,0.2263,0.0,0.863,0.137,70
1831,@FoxNews,2017-12-11,-0.296,0.178,0.696,0.126,69
1832,@FoxNews,2017-12-11,-0.25,0.287,0.549,0.165,68
1833,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,67
1834,@FoxNews,2017-12-11,0.4215,0.0,0.823,0.177,66
1835,@FoxNews,2017-12-11,0.0772,0.0,0.86,0.14,65
1836,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,64
1837,@FoxNews,2017-12-11,-0.296,0.145,0.855,0.0,63
1838,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,62
1839,@FoxNews,2017-12-11,-0.2263,0.176,0.72,0.104,61
1840,@FoxNews,2017-12-11,-0.8481,0.406,0.594,0.0,60
1841,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,59
1842,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,58
1843,@FoxNews,2017-12-11,-0.296,0.104,0.896,0.0,57
1844,@FoxNews,2017-12-11,-0.296,0.099,0.901,0.0,56
1845,@FoxNews,2017-12-11,-0.4939,0.132,0.868,0.0,55
1846,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,54
1847,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,53
1848,@FoxNews,2017-12-11,0.3612,0.0,0.878,0.122,52
1849,@FoxNews,2017-12-11,0.4404,0.0,0.854,0.146,51
1850,@FoxNews,2017-12-11,-0.5267,0.175,0.825,0.0,50
1851,@FoxNews,2017-12-11,-0.7579,0.302,0.698,0.0,49
1852,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,48
1853,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,47
1854,@FoxNews,2017-12-11,-0.4939,0.151,0.849,0.0,46
1855,@FoxNews,2017-12-11,-0.4939,0.147,0.798,0.055,45
1856,@FoxNews,2017-12-11,-0.5574,0.438,0.446,0.116,44
1857,@FoxNews,2017-12-11,-0.3182,0.113,0.887,0.0,43
1858,@FoxNews,2017-12-11,0.0772,0.0,0.936,0.064,42
1859,@FoxNews,2017-12-11,0.0772,0.0,0.925,0.075,41
1860,@FoxNews,2017-12-11,0.0772,0.0,0.944,0.056,40
1861,@FoxNews,2017-12-11,0.0772,0.0,0.936,0.064,39
1862,@FoxNews,2017-12-11,0.0772,0.0,0.936,0.064,38
1863,@FoxNews,2017-12-11,0.0772,0.0,0.915,0.085,37
1864,@FoxNews,2017-12-11,0.0772,0.0,0.92,0.08,36
1865,@FoxNews,2017-12-11,-0.34,0.245,0.636,0.118,35
1866,@FoxNews,2017-12-11,0.0772,0.0,0.92,0.08,34
1867,@FoxNews,2017-12-11,0.5859,0.0,0.789,0.211,33
1868,@FoxNews,2017-12-11,-0.6124,0.357,0.643,0.0,32
1869,@FoxNews,2017-12-11,0.6808,0.0,0.588,0.412,31
1870,@FoxNews,2017-12-11,0.34,0.0,0.882,0.118,30
1871,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,29
1872,@FoxNews,2017-12-11,0.4767,0.0,0.853,0.147,28
1873,@FoxNews,2017-12-11,0.7574,0.0,0.711,0.289,27
1874,@FoxNews,2017-12-11,-0.4588,0.25,0.75,0.0,26
1875,@FoxNews,2017-12-11,0.4215,0.0,0.763,0.237,25
1876,@FoxNews,2017-12-11,-0.3102,0.181,0.694,0.126,24
1877,@FoxNews,2017-12-11,-0.2263,0.106,0.894,0.0,23
1878,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,22
1879,@FoxNews,2017-12-11,-0.4588,0.158,0.842,0.0,21
1880,@FoxNews,2017-12-11,-0.1779,0.185,0.658,0.156,20
1881,@FoxNews,2017-12-11,0.3612,0.088,0.766,0.146,19
1882,@FoxNews,2017-12-11,0.4019,0.0,0.863,0.137,18
1883,@FoxNews,2017-12-11,-0.7841,0.385,0.615,0.0,17
1884,@FoxNews,2017-12-11,-0.6249,0.255,0.745,0.0,16
1885,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,15
1886,@FoxNews,2017-12-11,-0.296,0.104,0.896,0.0,14
1887,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,13
1888,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,12
1889,@FoxNews,2017-12-11,-0.5574,0.365,0.635,0.0,11
1890,@FoxNews,2017-12-11,0.5267,0.0,0.848,0.152,10
1891,@FoxNews,2017-12-11,-0.4754,0.192,0.735,0.073,9
1892,@FoxNews,2017-12-11,-0.8402,0.529,0.471,0.0,8
1893,@FoxNews,2017-12-11,0.5267,0.0,0.812,0.188,7
1894,@FoxNews,2017-12-11,0.743,0.0,0.73,0.27,6
1895,@FoxNews,2017-12-11,0.4767,0.0,0.829,0.171,5
1896,@FoxNews,2017-12-11,0.0,0.0,1.0,0.0,4
1897,@FoxNews,2017-12-11,0.5267,0.0,0.825,0.175,3
1898,@FoxNews,2017-12-11,-0.1027,0.123,0.877,0.0,2
1899,@FoxNews,2017-12-11,0.3818,0.0,0.86,0.14,1
1900,@nytimes,2017-12-11,-0.296,0.207,0.667,0.127,100
1901,@nytimes,2017-12-11,0.8733,0.0,0.573,0.427,99
1902,@nytimes,2017-12-11,0.25,0.087,0.787,0.126,98
1903,@nytimes,2017-12-11,0.6908,0.0,0.749,0.251,97
1904,@nytimes,2017-12-11,0.4215,0.0,0.787,0.213,96
1905,@nytimes,2017-12-11,0.0772,0.0,0.843,0.157,95
1906,@nytimes,2017-12-11,0.2023,0.168,0.588,0.244,94
1907,@nytimes,2017-12-11,-0.7506,0.407,0.484,0.109,93
1908,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,92
1909,@nytimes,2017-12-11,0.6369,0.0,0.625,0.375,91
1910,@nytimes,2017-12-11,0.5267,0.0,0.82,0.18,90
1911,@nytimes,2017-12-11,-0.4939,0.176,0.824,0.0,89
1912,@nytimes,2017-12-11,-0.34,0.118,0.882,0.0,88
1913,@nytimes,2017-12-11,-0.4939,0.127,0.873,0.0,87
1914,@nytimes,2017-12-11,-0.296,0.121,0.879,0.0,86
1915,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,85
1916,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,84
1917,@nytimes,2017-12-11,0.4767,0.0,0.853,0.147,83
1918,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,82
1919,@nytimes,2017-12-11,-0.5106,0.216,0.784,0.0,81
1920,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,80
1921,@nytimes,2017-12-11,-0.6597,0.241,0.759,0.0,79
1922,@nytimes,2017-12-11,-0.1531,0.068,0.932,0.0,78
1923,@nytimes,2017-12-11,-0.296,0.099,0.901,0.0,77
1924,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,76
1925,@nytimes,2017-12-11,-0.8126,0.399,0.435,0.167,75
1926,@nytimes,2017-12-11,-0.296,0.207,0.667,0.127,74
1927,@nytimes,2017-12-11,-0.8316,0.358,0.642,0.0,73
1928,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,72
1929,@nytimes,2017-12-11,0.0772,0.0,0.843,0.157,71
1930,@nytimes,2017-12-11,-0.7003,0.392,0.608,0.0,70
1931,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,69
1932,@nytimes,2017-12-11,0.3182,0.0,0.796,0.204,68
1933,@nytimes,2017-12-11,0.0772,0.0,0.936,0.064,67
1934,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,66
1935,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,65
1936,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,64
1937,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,63
1938,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,62
1939,@nytimes,2017-12-11,0.4404,0.11,0.686,0.203,61
1940,@nytimes,2017-12-11,-0.875,0.37,0.63,0.0,60
1941,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,59
1942,@nytimes,2017-12-11,0.5423,0.143,0.571,0.286,58
1943,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,57
1944,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,56
1945,@nytimes,2017-12-11,-0.296,0.099,0.901,0.0,55
1946,@nytimes,2017-12-11,0.3818,0.124,0.641,0.235,54
1947,@nytimes,2017-12-11,-0.3818,0.12,0.88,0.0,53
1948,@nytimes,2017-12-11,-0.6369,0.215,0.785,0.0,52
1949,@nytimes,2017-12-11,-0.3182,0.126,0.874,0.0,51
1950,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,50
1951,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,49
1952,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,48
1953,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,47
1954,@nytimes,2017-12-11,-0.6204,0.264,0.665,0.071,46
1955,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,45
1956,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,44
1957,@nytimes,2017-12-11,0.9169,0.0,0.52,0.48,43
1958,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,42
1959,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,41
1960,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,40
1961,@nytimes,2017-12-11,0.5859,0.0,0.648,0.352,39
1962,@nytimes,2017-12-11,0.4404,0.0,0.868,0.132,38
1963,@nytimes,2017-12-11,0.1027,0.105,0.773,0.123,37
1964,@nytimes,2017-12-11,-0.6249,0.321,0.584,0.095,36
1965,@nytimes,2017-12-11,0.0258,0.053,0.889,0.058,35
1966,@nytimes,2017-12-11,-0.3818,0.106,0.894,0.0,34
1967,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,33
1968,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,32
1969,@nytimes,2017-12-11,0.0772,0.0,0.939,0.061,31
1970,@nytimes,2017-12-11,0.25,0.14,0.676,0.185,30
1971,@nytimes,2017-12-11,0.3612,0.05,0.837,0.113,29
1972,@nytimes,2017-12-11,0.4588,0.0,0.833,0.167,28
1973,@nytimes,2017-12-11,0.6597,0.0,0.526,0.474,27
1974,@nytimes,2017-12-11,-0.7184,0.316,0.684,0.0,26
1975,@nytimes,2017-12-11,-0.7906,0.241,0.759,0.0,25
1976,@nytimes,2017-12-11,-0.5267,0.386,0.614,0.0,24
1977,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,23
1978,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,22
1979,@nytimes,2017-12-11,0.4215,0.0,0.851,0.149,21
1980,@nytimes,2017-12-11,0.7184,0.0,0.75,0.25,20
1981,@nytimes,2017-12-11,-0.6705,0.2,0.8,0.0,19
1982,@nytimes,2017-12-11,-0.5267,0.274,0.726,0.0,18
1983,@nytimes,2017-12-11,0.1779,0.0,0.922,0.078,17
1984,@nytimes,2017-12-11,-0.4019,0.137,0.863,0.0,16
1985,@nytimes,2017-12-11,-0.6195,0.18,0.82,0.0,15
1986,@nytimes,2017-12-11,-0.1531,0.156,0.745,0.099,14
1987,@nytimes,2017-12-11,0.6369,0.0,0.543,0.457,13
1988,@nytimes,2017-12-11,0.1779,0.0,0.925,0.075,12
1989,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,11
1990,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,10
1991,@nytimes,2017-12-11,0.1027,0.105,0.773,0.123,9
1992,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,8
1993,@nytimes,2017-12-11,-0.2263,0.128,0.872,0.0,7
1994,@nytimes,2017-12-11,0.128,0.143,0.695,0.162,6
1995,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,5
1996,@nytimes,2017-12-11,0.6467,0.0,0.816,0.184,4
1997,@nytimes,2017-12-11,0.4404,0.0,0.674,0.326,3
1998,@nytimes,2017-12-11,-0.8316,0.358,0.642,0.0,2
1999,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,1
